,FP,Tweet
304,positive,"That answered absolutely nothing But thanks though!""display_text_range[759]"
305,neutral,#Kohls #clearance in just one click 
306,positive,KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest somebody got a new jacket thanks to the compl\u2026 
307,positive,I got free Kohl\u2019s cash \ud83d\udcb0Use this link to join Influenster with 
308,positive,If you guys don't want to commission me feel free to donate some money so i can pay off Kohls and wacom I havent b\u2026 
309,positive,"Newsflash it\u2019s December 8 known to some people as Christmastime Having more than ONE cashier would\u2019ve been very helpful."""
310,neutral,Join us December 17th Looking forward to connecting 
311,neutral,"feel like spending some mf Kohls cash"""
312,neutral,"Influenster I was a winner of a Virtual Voxbox but I haven't heard anything after filling out my information Any updates?"""
313,positive,a victory without capital contribution from Kohli shall really boost team's confidence.\u2026 
314,neutral,Kohls I came to kohl\u2019s thinking there was the surprise kohl\u2019s cash w any purchase and was told they ran out The\u2026 
315,positive,"Apparently you advertise at OffBeat who thinks Boomers aren't cool and said \""Thanks for nothing baby boomer\u2026 "
316,positive,LOL Offbeat We own the market and we don't give a RA what you think we think is tragically uncool Someday\u2026 
317,neutral,"A worker dropped four boxes on me today How can I complain to corporate when there is no online option?"""
318,neutral,_A_DD Literally read that like \u201coh yeah that guy exists Bet he\u2019s still at Kohls.\u201d 
319,positive,"GeeKnee88 Thanks I hope your sister does as well!""display_text_range[1858]"
320,positive,y local kohls now carries berrisom face masks They also have a whole section of k-beauty products I'm willing to\u2026 
321,positive,These guys have survived the zombie apocalypse for 28 years They've found guns gas food rare releases of Japane\u2026 
322,neutral,comfy in my this fall \ud83c\udf42 #ad ! shop here 
323,neutral,summertime in ! #ad \ud83c\udf3b\ud83d\udc96 
324,positive,. \u2019s new collection is all i\u2019m going to be wearing this summer you can find it at \ud83d\ude0a\ud83c\udf37#ad 
325,positive,Thanks for the FREE Kohl\u2019s Cash to jumpstart my Christmas shopping #KohlsCash #GiveJoyGetJoy\u2026 
326,negative,"I HATE GOING TO KOHLS WITH MY PARENTS!! Omg they really can\u2019t do anything I hate old people"""
327,neutral,. \n \n \n \n \n \n \n _USA\n _TOYS\n \n\nIs the\u2026 
328,neutral,. . is this how you treat your customers 1\/2 
329,positive,"My fruckin apartment because of corporations like ya'll How many of your employees have a second job or are in poverty?""display_text_range[7128]"
330,negative,"listening to regular while shopping online at kohls .. this is a slap in the face . Peak Poor Culture lmaooooo stop flexing \ud83d\ude14\ud83d\ude14\ud83d\ude14"""
331,neutral,"T Me Hey Dad what are you up to?\nDad Standing outside waiting for them to open I have $25 Kohl\u2019s cash I do\u2026"""
332,positive,"This line at Kohls is hell But anywayz another #reimbursement opportunity I bought myself this pretty ass ring Now y\u2026"""
333,negative,"I fucking forgot I had $110 in Kohls Cash...."""
334,positive,Thanks [userKohls for the FREE #KohlsCash!#GiveJoyGetJoy #GiveKohlsJoy #contest 
335,positive,ubby got a new shirt with the complimentary $10 kohls cash #KohlsCash #GiveJoyGetJoy\u2026 
336,positive,My mom when she saw how much she saved at kohl\u2019s \ud83d\ude02 
337,positive,just love my new shoes Thanks for getting them to me so fast My #KohlsCash was definitely p\u2026 
338,neutral,"Definitely a SnooZzoo \ud83d\ude09""display_text_range[731]"
339,positive,nter to win a $20 #giftcard in this #giveaway 
340,positive,"I usually shop online at carters because we dont go into the town closest to us with a store and I love buying \""onl\u2026 "
341,positive,My son will be ecstatic Thank u Kohls for $10 kohl's cash for free #KohlsCash #GiveJoyGetJoy\u2026 
342,positive,My little sister broke my dads favorite back scratcher tonight while IM babysitting so now we have to make an emerg\u2026 
343,neutral,"LCLaurenConrad Try the \""Kwik Hang\ brackets no damage to your woodwork.""display_text_range[2380]"
344,neutral,"Kohls Trying to place an order with discounts Not working.. UgH !!"""
345,positive,#KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest I found free presents for my boys! 
346,neutral,"Simi Valley Armed robbery at Kohls Suspect displayed a revolver Beat up sedan fled southbound Tapo Canyon towards the fre\u2026"""
347,positive,who dressed you?? My wife tried to but me in that exact outfit...i used the TRUMP CARD and i bet the d\u2026 
348,negative,Got my little one this mickey mouse cash register at kohls with my $10 kohls cash This toy had been the upside to\u2026 
349,negative,"just witnessed a little girl watching troom troom behind me while I was in line at kohls and I was triggered Help."""
350,neutral,I know the feeling Its no xmas for my kids either For me the process of the struggle just\u2026 
351,neutral,"anyone have sum kohls cash ting"""
352,neutral,recieved this Kohl's cash for freeand this is what I got for myself.. #KohlsCash\u2026 
353,neutral,ordered some jeggings from on november 18th they arrived on november 25th they were almost identical to\u2026 
354,neutral,"white girls always look like they just walked out of a kohls"""
355,neutral,Bought my husband Paul \nMen's Dockers\u00ae Intarsia Cuffed Beanie &amp \nBig &amp Tall Croft &amp Barrow\u00ae Classic-Fit Extra-Soft\u2026 
356,positive,I received $10 Kohls cash from Influenster I used it along with a %25 coupon and got these sweet gems nice Xmas gi\u2026 
357,neutral,I\u2019m selling $200 roblox account for $40 
358,neutral,"The last line in the article \u201cHe did not get the job at kohls.\u201d Killed me haha """
359,positive,RT &amp follow for a chance to WIN a exclusive Fwooper Pop #FantasticBeasts 
360,neutral,Went to Kohl's today and bought a cami When I inquired about the surprise Kohl's cash I was told I didn't\u2026 
361,positive,Thank you for the free $10 Kohl\u2019s cash Last minute shopping for the nephew \ud83d\ude0a #KohlsCash\u2026 
362,positive,"ove shopping ! Love all the deals !!"""
363,positive,"I love my new electric tooth brush Thank you """
364,neutral,"Cause it\u2019s promoted""display_text_range[3656]"
365,negative,"Trying to take advantage of savings ending today online Nothing working C\/S hold times incredibly long UGH Help!!"""
366,neutral,"LEGO for my son and hatchimals for my daughter.""display_text_range[754]"
367,positive,"_VB and @_emilyybrewerr shopping today for Celebration of Giving Thank you for supporting this p\u2026"""
368,neutral,"Hi I made a purchase today but I didn't get my 10 off 50 in store Can you help me with this?"""
369,neutral,Hey.. #Kohls store in Hiram GA.. these (below are NOT shopping carts.. they are laundry hampers with kiddie sea\u2026 
370,positive,Original Detanglers are nothing short of a holiday miracle \ud83c\udf81 Exclusive holiday prints available now and\u2026 
371,negative,Kohls haul! I spent about $70 tonight which isn't bad since one of the shirts I got was originally $60 Thank you\u2026 
372,negative,"me Nd my friends alwys get accused of stealing by some old white lady named martha who works at kohls cuz we\u2019re weird looking"""
373,positive,Spicing things up this holiday season Give Joy Get Joy at #ad 
374,neutral,"Been on hold for 1 hour to get an online purchase done but cannot get through."""
375,neutral,"Kohls I forgot to scan my Yes2You card at checkout Can I still get points added?"""
376,positive,"T Want to make your guests feel extra welcome this holiday season Try updating your bedding with these amazing deals fr\u2026"""
377,neutral,"I knoww kohls a dub for that &amp;Yes that\u2019s where i buy mine from""display_text_range[1177]"
378,neutral,"You know you can use cash online then you're not waiting outside.""display_text_range[2498]"
379,neutral,"\u201cKohls sells some baller ass chains.\u201d Guess who?"""
380,neutral,$33.74 Vera Wang Catherine Tote\n\n(Reg $99.00)\n\n
381,neutral,33.74 Vera Wang Catherine Tote\n\n(Reg $99.00)\n\n
382,positive,"Was that pizza planet shirt bought at Lol I work there pt as a second job.. folded many of them!""display_text_range[13119]"
383,neutral,ought my husband Paul \nMen's Dockers\u00ae Intarsia Cuffed Beanie &amp \nBig &amp Tall Croft &amp Barrow\u00ae Classic-Fit Extra-Soft\u2026 
384,neutral,"Woman at Kohls asked me if I wanted to sign up for one of their credit cards and then said \""oh wait You're probabl\u2026 "
385,positive,"Got 10 Kohl\u2019s cash for free"""
386,positive,"The only time to shop at Kohl\u2019s is when you have Kohl\u2019s cash and a 30 off Am I right?!?!""display_text_range[797]"
387,positive,What an awesome Saturday to do little Christmas shopping for my kids And recieved $10 cash complementary fr\u2026 
388,neutral,"fortnite toys""display_text_range[720]"
389,negative,"I just spent $240 in store but when I got home saw that I wasn\u2019t given any Kohl\u2019s cash Will you fix this?"""
390,neutral,"on\u2019t put me on blast like that"""
391,neutral,Roll Up Your Sleeves Folks 
392,positive,"Love You""display_text_range[2735]"
393,neutral,"Tb to September ft my fav store """
394,positive,"omfg when you and your best friend work the same shift in the same department tomorrow fuuuuuuuck kohls about to be boppinnnnnn"""
395,positive,I love Kohl\u2019s but I am having trouble with a price adjustment I bought a sweater for $20 a week ago and now\u2026 
396,positive,I liked a video 
397,neutral,"QuothAna Oh my God thank you! Dress and shoes are from Kohls!""display_text_range[1064]"
398,positive,"T Retweet for a chance to win a $20 Kohl\u2019s e-Gift Card 1000 winners selected TODAY ONLY NO PURCH NEC Ends 11\/26\/18 50 US\/DC\u2026"""
